Barrio,Distrito,Categoria de zona,Precio terreno m2 (Place Analyzer),Precio departamento m2 (referencia),Plusvalia de zona (ganancia de capital en la venta),Rentabilidad de alquiler tipica de zona (renta sobre valor de compra),Ranking del estudio,Categoria de dato,Fuente,Fecha de actualizacion,Notas,Confianza,Vigencia
Manorá,D - pendiente de confirmar,Residencial en expansión / Emergente,USD 786/m² (el más alto de Asunción),"USD 1.633-2.400/m² (rango amplio entre fuentes, sin conciliar)",Alta — zona de mayor crecimiento y apreciación,Sin dato específico,1,C,"Place Analyzer/infonegocios.com.py, Yulia Traidova, Capadei",2026-08-17,"Rango de precio de depto muy disperso entre fuentes (USD 1.633-1.784 vs. USD 1.800-2.400) — no conciliado, se muestra el rango completo.",LOW,CURRENT
Villa Morra,La Recoleta,Eje Corporativo / Mixta,USD 748/m²,USD 1.698-2.500/m² (según antigüedad de la muestra),"Alta — zona consolidada, algunos proyectos publicitan hasta 25%",6-10% bruto anual; proyectos puntuales publicitan hasta 15%,2,C,"Place Analyzer/infonegocios.com.py, Yulia Traidova, Capadei, InfoCasas (tarifas reales)",2026-08-17,"El barrio más consolidado y prestigioso — mayor concentración de oficinas corporativas, shopping de lujo y torres residenciales premium.",LOW,CURRENT
Las Lomas,D - pendiente de confirmar,Residencial (exclusivo),USD 742/m²,USD 1.800-2.300/m² (incluye el sector Carmelitas),Alta,Sin dato específico,3,C,"Place Analyzer/infonegocios.com.py, Capadei",2026-08-17,"Incluye el sector 'Carmelitas' (cercano a la capilla/convento Las Carmelitas Descalzas) — mismo barrio, confirmado por el founder.",LOW,CURRENT
Mcal. López,La Recoleta,Residencial / Comercial (avenida principal),USD 713/m²,Sin dato específico de departamento,Alta,Sin dato específico,4,C,Place Analyzer/infonegocios.com.py,2026-08-17,Corresponde a 'Mariscal Francisco Solano López' en la fuente original — avenida principal de alta densidad comercial/residencial.,LOW,CURRENT
Recoleta,La Recoleta,Comercial / Zona Shopping,USD 663/m²,Sin dato específico de departamento,Alta — barrio preferido por familias,Sin dato específico,5,C,"Place Analyzer/infonegocios.com.py, InfoCasas (tarifas reales)",2026-08-17,"A metros de Shopping del Sol, alta densidad comercial.",LOW,CURRENT
San Jorge,D - pendiente de confirmar,Residencial,USD 662/m²,Sin dato específico,Sin dato específico,Sin dato específico,6,C,Place Analyzer/infonegocios.com.py,2026-08-17,,LOW,CURRENT
Santo Domingo,La Recoleta,Residencial,USD 656/m²,Sin dato específico,Mencionado entre las zonas de mayor precio promedio (junto a Mburucuyá/Villa Morra/Manorá),Sin dato específico,7,C,"Place Analyzer/infonegocios.com.py, Capadei",2026-08-17,,LOW,CURRENT
Mcal. Estigarribia,La Recoleta,Residencial,USD 618/m²,Sin dato específico,Sin dato específico,Sin dato específico,8,C,Place Analyzer/infonegocios.com.py,2026-08-17,Corresponde a 'Mariscal José Félix Estigarribia' en la fuente original.,LOW,CURRENT
Ycua Satí,D - pendiente de confirmar,Residencial / Mixta,USD 613/m²,Referencia tarifas reales ya relevadas (ver hoja Datos),Mencionado entre las zonas de mayor precio promedio,Sin dato específico,9,C,"Place Analyzer/infonegocios.com.py, InfoCasas (tarifas reales)",2026-08-17,,LOW,CURRENT
Madame Lynch,D - pendiente de confirmar,Residencial,USD 602/m²,Sin dato específico,Sin dato específico,Sin dato específico,10,C,Place Analyzer/infonegocios.com.py,2026-08-17,Corresponde a 'Madame Elisa Alicia Lynch' en la fuente original.,LOW,CURRENT
Mburucuyá,D - pendiente de confirmar,Eje Corporativo,Sin dato específico de Place Analyzer,Sin dato específico,"Alta — corredor de mayor desarrollo vertical, mencionado entre las zonas de mayor precio promedio",Alta demanda de renta residencial y Airbnb,"Alto (corredor corporativo, sin ranking numérico de Place Analyzer)",C,"Founder (13-...md §2), Capadei, Inmovia ('The Corporate Hub')",2026-08-17,Corredor corporativo nombrado explícitamente por el founder como 'Eje Corporativo'.,LOW,CURRENT
Luis A. de Herrera,D - pendiente de confirmar,Residencial,"USD 1.200-1.500/m² (listados de mercado, NO Place Analyzer — ver nota)",Referencia venta zona USD 1.750-2.100/m² (`03-...md`),"Alta — >20%/año, confirmada directamente por el founder","Confirmado con dato real, ver hoja Datos",Sin ranking numérico de Place Analyzer — confirmado por el founder como caso activo,"A (plusvalía, demanda) / C (precio terreno, ranking relativo)","Founder, 2026-08-16 + `13-...md` §2; precio terreno: InfoCasas/Coldwell Banker/Red Exclusivos (listados activos, 2026-08-17)",2026-08-17,"Confirmado por el founder: barrio residencial con demanda real de 3 dormitorios amoblados; cercano a los principales centros comerciales sin estar en medio del tránsito/ruido. El precio de terreno de USD 1.200-1.500/m² es de LISTADOS DE MERCADO (asking price), no del algoritmo de Place Analyzer -- metodologia distinta, no comparar directamente contra el ranking de la seccion 3. El terreno del trato ($360.000 / 469 m² = USD 767,59/m²) queda POR DEBAJO de este rango de listados actuales -- refuerza que el trato es favorable.",,
