Barrio,Categoria de zona,Precio m2 de referencia,Plusvalia de zona (ganancia de capital en la venta),Rentabilidad de alquiler tipica de zona (renta sobre valor de compra),Ranking del estudio,Categoria de dato,Fuente,Fecha de actualizacion,Notas
Manorá,Residencial en expansión / Emergente,USD 786/m2 (el más alto de Asunción),Alta — mencionado como la zona de mayor crecimiento y apreciación de la ciudad,Sin dato específico relevado todavía,1,C,"Yulia Traidova (precios por barrio 2026), Inmovia",2026-08-16,"Zona originalmente residencial de clase media, en expansión acelerada con decenas de torres nuevas — el barrio de mayor precio/m2 de la ciudad según el estudio."
Villa Morra,Eje Corporativo / Mixta (residencial-comercial),USD 748/m2,Alta — zona consolidada; algunos proyectos publicitan hasta 25% de plusvalía estimada,6-10% bruto anual (rango general de la ciudad); proyectos puntuales publicitan hasta 15%,2,C,"Yulia Traidova, InfoCasas (tarifas reales ya relevadas)",2026-08-16,"El barrio más consolidado y prestigioso de Asunción — mayor concentración de oficinas corporativas, shopping de lujo y torres residenciales premium. Perfil de inversor conservador (estabilidad, bajo riesgo)."
Las Lomas,Residencial (exclusivo),USD 742/m2,"Alta — junto con Villa Morra y Carmelitas, de las zonas más valoradas de la ciudad",Sin dato específico relevado todavía,3,C,"Yulia Traidova, Revista FOCO ('las 5 zonas más top de Asunción')",2026-08-16,"Incluye el sector conocido comercialmente como 'Carmelitas' (cercano a la capilla/convento Las Carmelitas Descalzas) — mismo barrio, no uno separado, confirmado por el founder."
Mcal. López,Residencial / Comercial (avenida principal),USD 713/m2,Alta,Sin dato específico relevado todavía,4,C,Yulia Traidova,2026-08-16,Corresponde a la zona colloquialmente citada como 'Mariscal López' en estudios de mercado — avenida principal con alta densidad comercial y residencial.
Recoleta,Comercial / Zona Shopping,USD 663/m2,"Alta — barrio preferido por familias, en crecimiento sostenido",Sin dato específico relevado todavía,5,C,"Yulia Traidova, InfoCasas (tarifas reales ya relevadas)",2026-08-16,"El barrio preferido por familias paraguayas y extranjeros que se relocalizan — buen balance entre calidad de vida y retorno de inversión, según el estudio."
Luis A. de Herrera,Residencial,"Sin dato específico de precio m2 (referencia venta zona USD 1.750-2.100/m2, `03-...md`)",Alta — plusvalía >20%/año confirmada directamente por el founder,Confirmado con dato real: ver hoja 'Datos' — 1/2/3 dormitorios,"6 (no rankeado en los estudios externos, pero confirmado como zona de alta demanda por el founder)","A (plusvalía, demanda) / C (ranking relativo)","Founder, 2026-08-16 + `13-...md` §2",2026-08-16,"Confirmado por el founder: barrio residencial con demanda real de 3 dormitorios amoblados; cercano y con vías de acceso a los principales centros comerciales, sin estar en medio del tránsito/ruido."
Santísima Trinidad,Emergente,Sin dato específico relevado todavía,Mencionado como 'la zona emergente por excelencia' de Asunción,Sin dato específico relevado todavía,"Emergente, sin rankear con las zonas top",C,Inmovia ('7 mejores barrios para invertir'),2026-08-16,Corresponde a la zona citada como 'Trinidad' en estudios de mercado.
Mburucuyá,Eje Corporativo,Sin dato específico relevado todavía,Alta — corredor de mayor desarrollo vertical de la ciudad,"Alta demanda de renta residencial y temporal/Airbnb, mayor volumen de oferta nueva",Alto (corredor corporativo),C,"Founder (13-...md §2), Inmovia ('The Corporate Hub')",2026-08-16,"Corredor corporativo nombrado explícitamente por el founder como 'Eje Corporativo' — coincide con lo que estudios externos llaman 'The Corporate Hub', el área de mayor desarrollo vertical de la ciudad."
Ycua Satí,Residencial / Mixta,Sin dato específico relevado todavía,Mencionado junto a Villa Morra/Jara como zona de mayor valorización actual,Sin dato específico relevado todavía,Alto (mencionado junto a las zonas top),C,Departamentosasuncion.com,2026-08-16,"Zona residencial consolidada, cercana a Villa Morra."
Vista Alegre,Residencial (más económica),Sin dato específico relevado todavía,Sin dato específico relevado todavía,Sin dato específico relevado todavía,"Bajo (zona de referencia económica, no premium)",C,Inferencia propia,2026-08-16,"Referencia de zona más económica dentro del relevamiento — usada para contraste, no como zona premium."
Salvador del Mundo,Residencial / Mixta,Sin dato específico relevado todavía,Sin dato específico relevado todavía,Sin dato específico relevado todavía,Sin rankear todavía,C,Inferencia propia,2026-08-16,Zona residencial consolidada.
